aa: Afar
ab: Abkhazian
af: Afrikaans
ak: Akan
sq: Albanian
am: Amharic
ar: Arabic
an: Aragonese
hy: Armenian
as: Assamese
av: Avaric
ae: Avestan
ay: Aymara
az: Azerbaijani
ba: Bashkir
bm: Bambara
eu: Basque
be: Belarusian
bn: Bengali
bh: Bihari
bi: Bislama
bs: Bosnian
br: Breton
bg: Bulgarian
my: Burmese
ca: Catalan
ch: Chamorro
ce: Chechen
ny: Chichewa
zh: Chinese
cv: Chuvash
kw: Cornish
co: Corsican
cr: Cree
hr: Croatian
cs: Czech
da: Danish
dv: Divehi
nl: Dutch
dz: Dzongkha
en: English
eo: Esperanto
et: Estonian
ee: Ewe
fo: Faroese
fj: Fijian
fi: Finnish
fr: French
ff: Fulah
gl: Galician
ka: Georgian
de: German
el: Greek
gn: Guarani
gu: Gujarati
ht: Haitian
ha: Hausa
he: Hebrew
hz: Herero
hi: Hindi
ho: Hiri Motu
hu: Hungarian
ia: Interlingua
id: Indonesian
ie: Interlingue
ga: Irish
ig: Igbo
ik: Inupiaq
io: Ido
is: Icelandic
it: Italian
iu: Inuktitut
ja: Japanese
jv: Javanese
kl: Kalaallisut
kn: Kannada
kr: Kanuri
ks: Kashmiri
kk: Kazakh
km: Khmer
ki: Kikuyu
rw: Kinyarwanda
ky: Kyrgyz
kv: Komi
kg: Kongo
ko: Korean
ku: Kurdish
kj: Kuanyama
la: Latin
lb: Luxembourgish
lg: Ganda
li: Limburgish
ln: Lingala
lo: Lao
lt: Lithuanian
lu: Luba-Katanga
lv: Latvian
gv: Manx
mk: Macedonian
mg: Malagasy
ms: Malay
ml: Malayalam
mt: Maltese
mi: Maori
mr: Marathi
mh: Marshallese
mn: Mongolian
na: Nauru
nv: Navajo
nr: Ndebele
nd: Ndonga
ne: Nepali
ng: Ndonga
nn: Norwegian Nynorsk
no: Norwegian
ii: Sichuan Yi
nr: Ndebele
oc: Occitan
oj: Ojibwa
cu: Church Slavic
om: Oromo
or: Oriya
os: Ossetian
pa: Punjabi
pi: Pali
pl: Polish
pt: Portuguese
ps: Pashto
qu: Quechua
ro: Romanian
rm: Romansh
ru: Russian
sa: Sanskrit
sc: Sardinian
sd: Sindhi
se: Northern Sami
sg: Sango
si: Sinhala
sk: Slovak
sl: Slovenian
so: Somali
st: Southern Sotho
es: Spanish
su: Sundanese
sw: Swahili
ss: Swati
sv: Swedish
ta: Tamil
te: Telugu
tg: Tajik
th: Thai
ti: Tigrinya
to: Tonga
ts: Tswana
tn: Tswana
tr: Turkish
tk: Turkmen
tw: Twi
ug: Uighur
uk: Ukrainian
ur: Urdu
uz: Uzbek
ve: Venda
vi: Vietnamese
vo: Volapük
wa: Walloon
cy: Welsh
wo: Wolof
xh: Xhosa
yi: Yiddish
yo: Yoruba
za: Zhuang
zu: Zulu
